~0~Image	ROI Size	Object Count	Density
C8T1.czi	2638680.13	15	5.6847
C3T3_B.czi	1822670.39	17	9.327
C3T2.czi	1783486.3	14	7.8498
C1T1.czi	1066391.42	17	15.9416
C1T3.czi	2114840.85	9	4.2556
C8T4.czi	1563128.71	6	3.8385
C3T3_A.czi	2234333.72	27	12.0841
C8T2.czi	1982281.78	10	5.0447
C1T2.czi	1149656.41	13	11.3077
C3T1.czi	1723706.78	15	8.7022
C5T3.czi	2194348.86	10	4.5572
C5T4.czi	1110702.96	7	6.3023
C5T1_A.czi	2050010.36	7	3.4146
C5T1_B.czi	2194519.63	13	5.9238
C3T2_B.czi	2357086.92	25	10.6063
NoGal3-bad.czi	1774479.44	0	0
C5T2.czi	2014561.71	21	10.4241
C8T3.czi	1583062.09	11	6.9486
C8T5.czi	1083433.5	20	18.4598
