~0~Image	ROI Size	Object Count	Density
NoGal3_Jan_Small Hippo.czi	1989796.25	0	0
4A.czi	5012755.14	0	0
4B_b.czi	2313278.51	0	0
4C.czi	2622470.76	0	0
13B.czi	2714668.09	1	0.3684
NoGal3_B.czi	1890197.5	6	3.1743
25A.czi	2516290.51	23	9.1404
4C_a.czi	1645468.96	0	0
25C.czi	1848311.43	17	9.1976
4C_b.czi	3059589.61	1	0.3268
25A_b.czi	3519841.28	11	3.1251
25B.czi	1939231.46	4	2.0627
19B.czi	1999708.37	3	1.5002
13C.czi	2488662.72	0	0
