~0~Image	ROI Size	Object Count	Density
21_b.czi	1776391.99	0	0
21_a.czi	2127613.04	2	0.94
13A.czi	2855601.56	2	0.7004
21_c.czi	2093366.86	1	0.4777
19B.czi	2233663.43	1	0.4477
21_d.czi	1542561.43	0	0
25A_b.czi	2539560.18	5	1.9688
13A_b.czi	2453975.87	2	0.815
19B_B.czi	1990658.43	4	2.0094
19C.czi	3617050.12	0	0
13C.czi	2508139.24	15	5.9805
19A_b.czi	2066903.22	3	1.4514
13B.czi	3427985.28	1	0.2917
