~0~Image	ROI Size	Object Count	Density
C3T1.czi	2123274.71	18	8.4775
C8T4.czi	1867239.06	6	3.2133
C5T4.czi	2268507.34	31	13.6654
C5T2.czi	1945579.73	38	19.5315
NoGal3_C1T1.czi	1835523.99	0	0
C8T5.czi	2649992.6	27	10.1887
C5T3.czi	2128654.95	10	4.6978
C8T1.czi	1763209.43	33	18.7159
C8T3.czi	1838917.79	10	5.438
