YC,YD,OC,OD,Comments
13.585,,11.074,0.46,
9.9,21.498,13.481,8.66,
8.76,12.04,11.089,26.22,
,10.94,3.84,14.738,
15.84,5.78,11.486,15.62,
11.82,5.628,9.44,9.44,
15.883,12.2,16.24,15.75,
19.28,,23.119,8.18,
10.56,13.28,17.603,21.94,
13.564,25.98,13.481,4.52,
9.76,17.921,17.5249,25.28,
18.2654,15.76,14.36,17.0919,
30.20872,5.768,19.48,15.482,
12.48,17.08,7.6,14.08,
5.66,15.64,15.76,3.34,
9.84,4.8,18.82,11.26,
6.88,13.74,16,13.34,
13.98,17.36,8.54,19.54,
