~0~Image	ROI Size	Object Count	Density
Ctrl1_B.czi	2508801.7	7	2.7902
Ctrl2.czi	2579446.1	0	0
Y1.2_B.czi	2529594.89	0	0
CX1.czi	2922392.72	5	1.7109
Y2.4.czi	1885015.95	0	0
Ctrl2_B.czi	2419093.21	10	4.1338
NoCD74_Ctrl1.czi	1980291.62	0	0
Y4.1.czi	2455442.59	0	0
Y1.2_A.czi	1716853.42	0	0
Y4.1_B.czi	2938902.62	0	0
Ctrl1.czi	2188130.75	10	4.5701
